"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
192,2020-07-10,285,294,303,8888
193,2020-07-11,288,297,306,8977
194,2020-07-12,291,300,309,9019
195,2020-07-13,294,303,312,9079
196,2020-07-14,297,306,315,9202
197,2020-07-15,299,309,319,9369
198,2020-07-16,302,312,322,9595
199,2020-07-17,304,314,324,9742
200,2020-07-18,307,317,327,9798
201,2020-07-19,309,319,329,9867
202,2020-07-20,312,322,332,9906
203,2020-07-21,314,324,334,NA
204,2020-07-22,316,326,336,NA
205,2020-07-23,318,328,338,NA
206,2020-07-24,320,330,340,NA
207,2020-07-25,321,331,341,NA
208,2020-07-26,323,333,343,NA
209,2020-07-27,325,335,345,NA
210,2020-07-28,326,336,346,NA
211,2020-07-29,328,338,348,NA
212,2020-07-30,329,339,349,NA
