"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
169,2020-06-17,4,5,6,146
170,2020-06-18,4,5,6,149
171,2020-06-19,4,5,6,151
172,2020-06-20,4,5,6,153
173,2020-06-21,4,5,6,153
174,2020-06-22,4,5,6,154
175,2020-06-23,4,5,6,156
176,2020-06-24,4,5,6,165
177,2020-06-25,4,5,6,171
178,2020-06-26,4,5,6,173
179,2020-06-27,4,5,6,173
180,2020-06-28,4,5,6,NA
181,2020-06-29,4,5,6,NA
182,2020-06-30,4,5,6,NA
183,2020-07-01,4,5,6,NA
184,2020-07-02,4,5,6,NA
185,2020-07-03,4,5,6,NA
186,2020-07-04,5,6,7,NA
187,2020-07-05,5,6,7,NA
188,2020-07-06,5,6,7,NA
189,2020-07-07,5,6,7,NA
