"dia_ano","dias","otimista","casos_estimados","pessimista","x"
189,2020-07-07,402,429,456,419
190,2020-07-08,415,443,471,432
191,2020-07-09,429,458,487,447
192,2020-07-10,443,473,503,459
193,2020-07-11,458,489,520,485
194,2020-07-12,473,505,537,497
195,2020-07-13,489,522,555,517
196,2020-07-14,505,540,575,534
197,2020-07-15,522,558,594,569
198,2020-07-16,539,576,613,588
199,2020-07-17,557,595,633,646
200,2020-07-18,576,615,654,NA
201,2020-07-19,595,636,677,NA
202,2020-07-20,615,657,699,NA
203,2020-07-21,636,679,722,NA
204,2020-07-22,656,701,746,NA
205,2020-07-23,679,725,771,NA
206,2020-07-24,701,749,797,NA
207,2020-07-25,725,774,823,NA
208,2020-07-26,749,800,851,NA
209,2020-07-27,773,826,879,NA
