"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude","region"
"China","2019-12-30",14,14,14,1,27,0,35.86166,104.195397,"Asia"
"China","2019-12-31",18,18,18,1,27,0,35.86166,104.195397,"Asia"
"China","2020-01-01",21,22,23,1,27,0,35.86166,104.195397,"Asia"
"China","2020-01-02",26,27,28,2,44,0,35.86166,104.195397,"Asia"
"China","2020-01-03",33,34,35,2,44,0,35.86166,104.195397,"Asia"
"China","2020-01-04",41,42,43,2,59,0,35.86166,104.195397,"Asia"
"China","2020-01-05",50,51,52,3,59,0,35.86166,104.195397,"Asia"
"China","2020-01-06",62,64,66,4,59,0,35.86166,104.195397,"Asia"
"China","2020-01-07",77,79,81,4,59,0,35.86166,104.195397,"Asia"
"China","2020-01-08",96,98,100,5,59,0,35.86166,104.195397,"Asia"
"China","2020-01-09",118,121,124,7,59,1,35.86166,104.195397,"Asia"
"China","2020-01-10",145,149,153,8,59,1,35.86166,104.195397,"Asia"
"China","2020-01-11",181,185,189,10,59,1,35.86166,104.195397,"Asia"
"China","2020-01-12",223,229,235,13,59,1,35.86166,104.195397,"Asia"
"China","2020-01-13",276,283,290,16,59,2,35.86166,104.195397,"Asia"
"China","2020-01-14",341,350,359,20,59,2,35.86166,104.195397,"Asia"
"China","2020-01-15",422,433,444,24,59,2,35.86166,104.195397,"Asia"
"China","2020-01-16",522,535,548,30,63,2,35.86166,104.195397,"Asia"
"China","2020-01-17",645,661,677,37,80,3,35.86166,104.195397,"Asia"
"China","2020-01-18",797,817,837,46,216,3,35.86166,104.195397,"Asia"
"China","2020-01-19",984,1009,1034,56,235,6,35.86166,104.195397,"Asia"
"China","2020-01-20",1215,1245,1275,69,386,17,35.86166,104.195397,"Asia"
"China","2020-01-21",1499,1536,1573,86,526,17,35.86166,104.195397,"Asia"
"China","2020-01-22",1846,1892,1938,106,623,26,35.86166,104.195397,"Asia"
"China","2020-01-23",2273,2330,2387,130,882,41,35.86166,104.195397,"Asia"
"China","2020-01-24",2795,2865,2935,160,1323,56,35.86166,104.195397,"Asia"
"China","2020-01-25",3431,3517,3603,196,1988,81,35.86166,104.195397,"Asia"
"China","2020-01-26",4205,4310,4415,241,2775,106,35.86166,104.195397,"Asia"
"China","2020-01-27",5142,5270,5398,294,4528,132,35.86166,104.195397,"Asia"
"China","2020-01-28",6270,6426,6582,359,5994,170,35.86166,104.195397,"Asia"
"China","2020-01-29",7621,7811,8001,436,7734,213,35.86166,104.195397,"Asia"
"China","2020-01-30",9226,9456,9686,528,9714,259,35.86166,104.195397,"Asia"
"China","2020-01-31",11119,11396,11673,636,11809,304,35.86166,104.195397,"Asia"
"China","2020-02-01",13327,13659,13991,762,14399,361,35.86166,104.195397,"Asia"
"China","2020-02-02",15874,16270,16666,908,17211,426,35.86166,104.195397,"Asia"
"China","2020-02-03",18773,19241,19709,1074,20448,492,35.86166,104.195397,"Asia"
"China","2020-02-04",22022,22571,23120,1260,24320,564,35.86166,104.195397,"Asia"
"China","2020-02-05",25601,26239,26877,1464,28047,637,35.86166,104.195397,"Asia"
"China","2020-02-06",29470,30204,30938,1686,31207,723,35.86166,104.195397,"Asia"
"China","2020-02-07",33569,34405,35241,1920,34625,812,35.86166,104.195397,"Asia"
"China","2020-02-08",37818,38760,39702,2163,37232,909,35.86166,104.195397,"Asia"
"China","2020-02-09",42125,43175,44225,2410,40206,1017,35.86166,104.195397,"Asia"
"China","2020-02-10",46395,47551,48707,2654,42696,1114,35.86166,104.195397,"Asia"
"China","2020-02-11",50532,51791,53050,2891,44724,1368,35.86166,104.195397,"Asia"
"China","2020-02-12",54455,55812,57169,3115,59865,1381,35.86166,104.195397,"Asia"
"China","2020-02-13",58099,59547,60995,3324,64021,1524,35.86166,104.195397,"Asia"
"China","2020-02-14",61420,62950,64480,3513,66559,1666,35.86166,104.195397,"Asia"
"China","2020-02-15",64392,65997,67602,3684,68566,1771,35.86166,104.195397,"Asia"
"China","2020-02-16",67013,68683,70353,3833,70618,1869,35.86166,104.195397,"Asia"
"China","2020-02-17",69290,71017,72744,3964,72508,2008,35.86166,104.195397,"Asia"
"China","2020-02-18",71248,73023,74798,4076,74258,2120,35.86166,104.195397,"Asia"
"China","2020-02-19",72910,74727,76544,4171,74652,2238,35.86166,104.195397,"Asia"
"China","2020-02-20",74312,76164,78016,4251,75543,2347,35.86166,104.195397,"Asia"
"China","2020-02-21",75484,77365,79246,4318,76369,2445,35.86166,104.195397,"Asia"
"China","2020-02-22",76459,78364,80269,4374,77016,2595,35.86166,104.195397,"Asia"
"China","2020-02-23",77265,79190,81115,4420,77234,2665,35.86166,104.195397,"Asia"
"China","2020-02-24",77928,79870,81812,4458,77749,2717,35.86166,104.195397,"Asia"
"China","2020-02-25",78472,80427,82382,4489,78159,2746,35.86166,104.195397,"Asia"
"China","2020-02-26",78918,80884,82850,4514,78598,2790,35.86166,104.195397,"Asia"
"China","2020-02-27",79280,81256,83232,4535,78927,2837,35.86166,104.195397,"Asia"
"China","2020-02-28",79577,81560,83543,4552,79355,2872,35.86166,104.195397,"Asia"
"China","2020-02-29",79818,81807,83796,4566,79929,2914,35.86166,104.195397,"Asia"
"China","2020-03-01",80013,82007,84001,4577,80134,2946,35.86166,104.195397,"Asia"
"China","2020-03-02",80172,82170,84168,4586,80261,2983,35.86166,104.195397,"Asia"
"China","2020-03-03",80301,82302,84303,4594,80380,3014,35.86166,104.195397,"Asia"
"China","2020-03-04",80405,82409,84413,4600,80497,3044,35.86166,104.195397,"Asia"
"China","2020-03-05",80489,82495,84501,4604,80667,3072,35.86166,104.195397,"Asia"
"China","2020-03-06",80558,82565,84572,4608,80768,3099,35.86166,104.195397,"Asia"
"China","2020-03-07",80613,82622,84631,4611,80814,3122,35.86166,104.195397,"Asia"
"China","2020-03-08",80658,82668,84678,4614,80859,3139,35.86166,104.195397,"Asia"
"China","2020-03-09",80694,82705,84716,4616,80879,3161,35.86166,104.195397,"Asia"
"China","2020-03-10",80724,82735,84746,4618,80908,3172,35.86166,104.195397,"Asia"
"China","2020-03-11",80747,82759,84771,4619,80932,3179,35.86166,104.195397,"Asia"
