"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
164,2020-06-12,39,43,47,42
165,2020-06-13,40,45,50,42
166,2020-06-14,42,47,52,42
167,2020-06-15,44,49,54,45
168,2020-06-16,46,51,56,48
169,2020-06-17,48,53,58,54
170,2020-06-18,49,55,61,56
171,2020-06-19,51,57,63,60
172,2020-06-20,52,58,64,61
173,2020-06-21,54,60,66,62
174,2020-06-22,56,62,68,63
175,2020-06-23,57,64,71,NA
176,2020-06-24,59,66,73,NA
177,2020-06-25,61,68,75,NA
178,2020-06-26,62,69,76,NA
179,2020-06-27,64,71,78,NA
180,2020-06-28,66,73,80,NA
181,2020-06-29,66,74,82,NA
182,2020-06-30,68,76,84,NA
183,2020-07-01,69,77,85,NA
184,2020-07-02,71,79,87,NA
