"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
190,2020-07-08,278,287,296,8592
191,2020-07-09,281,290,299,8806
192,2020-07-10,285,294,303,8888
193,2020-07-11,287,297,307,8977
194,2020-07-12,290,300,310,9019
195,2020-07-13,293,303,313,9079
196,2020-07-14,296,306,316,9202
197,2020-07-15,299,309,319,9369
198,2020-07-16,302,312,322,9595
199,2020-07-17,304,314,324,9742
200,2020-07-18,307,317,327,9798
201,2020-07-19,309,319,329,NA
202,2020-07-20,312,322,332,NA
203,2020-07-21,314,324,334,NA
204,2020-07-22,316,326,336,NA
205,2020-07-23,317,328,339,NA
206,2020-07-24,319,330,341,NA
207,2020-07-25,321,332,343,NA
208,2020-07-26,322,333,344,NA
209,2020-07-27,324,335,346,NA
210,2020-07-28,325,336,347,NA
