"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
167,2020-06-15,12,14,16,764
168,2020-06-16,12,15,18,833
169,2020-06-17,13,16,19,889
170,2020-06-18,14,17,20,943
171,2020-06-19,15,18,21,991
172,2020-06-20,16,20,24,1019
173,2020-06-21,17,21,25,1059
174,2020-06-22,18,22,26,1131
175,2020-06-23,20,24,28,1186
176,2020-06-24,21,25,29,1254
177,2020-06-25,21,26,31,1295
178,2020-06-26,23,28,33,NA
179,2020-06-27,24,29,34,NA
180,2020-06-28,25,31,37,NA
181,2020-06-29,26,32,38,NA
182,2020-06-30,27,33,39,NA
183,2020-07-01,29,35,41,NA
184,2020-07-02,30,36,42,NA
185,2020-07-03,30,37,44,NA
186,2020-07-04,32,39,46,NA
187,2020-07-05,33,40,47,NA
