"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
198,2020-07-16,2,2,2,113
199,2020-07-17,2,2,2,122
200,2020-07-18,2,2,2,122
201,2020-07-19,2,2,2,122
202,2020-07-20,2,2,2,125
203,2020-07-21,2,2,2,132
204,2020-07-22,2,2,2,133
205,2020-07-23,2,2,2,136
206,2020-07-24,2,2,2,139
207,2020-07-25,2,2,2,139
208,2020-07-26,2,2,2,139
209,2020-07-27,2,2,2,NA
210,2020-07-28,2,2,2,NA
211,2020-07-29,2,2,2,NA
212,2020-07-30,2,2,2,NA
213,2020-07-31,2,2,2,NA
214,2020-08-01,2,2,2,NA
215,2020-08-02,2,2,2,NA
216,2020-08-03,2,2,2,NA
217,2020-08-04,2,2,2,NA
218,2020-08-05,2,2,2,NA
