"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","latitude","longitude"
"Aruba",2019-12-30,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2019-12-31,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-01,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-02,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-03,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-04,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-05,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-06,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-07,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-08,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-09,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-10,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-11,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-12,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-13,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-14,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-15,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-16,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-17,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-18,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-19,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-20,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-21,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-22,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-23,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-24,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-25,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-26,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-27,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-28,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-29,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-30,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-01-31,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-01,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-02,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-03,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-04,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-05,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-06,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-07,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-08,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-09,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-10,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-11,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-12,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-13,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-14,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-15,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-16,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-17,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-18,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-19,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-20,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-21,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-22,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-23,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-24,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-25,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-26,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-27,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-28,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-02-29,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-01,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-02,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-03,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-04,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-05,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-06,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-07,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-08,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-09,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-10,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-11,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-12,0,0,0,NA,2,"12.52111","-69.968338"
"Aruba",2020-03-13,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-14,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-15,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-16,0,0,0,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-17,0,1,2,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-18,0,1,2,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-19,0,1,2,NA,4,"12.52111","-69.968338"
"Aruba",2020-03-20,1,2,3,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-21,1,4,7,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-22,2,6,10,NA,0,"12.52111","-69.968338"
"Aruba",2020-03-23,2,9,16,NA,12,"12.52111","-69.968338"
"Aruba",2020-03-24,3,13,23,NA,17,"12.52111","-69.968338"
"Aruba",2020-03-25,5,19,33,NA,19,"12.52111","-69.968338"
"Aruba",2020-03-26,7,26,45,NA,28,"12.52111","-69.968338"
"Aruba",2020-03-27,9,34,59,NA,28,"12.52111","-69.968338"
"Aruba",2020-03-28,12,43,74,NA,46,"12.52111","-69.968338"
"Aruba",2020-03-29,14,51,88,NA,NA,"12.52111","-69.968338"
"Aruba",2020-03-30,15,57,99,NA,NA,"12.52111","-69.968338"
"Aruba",2020-03-31,17,62,107,NA,NA,"12.52111","-69.968338"
"Aruba",2020-04-01,17,65,113,NA,NA,"12.52111","-69.968338"
"Aruba",2020-04-02,18,68,118,NA,NA,"12.52111","-69.968338"
"Aruba",2020-04-03,18,69,120,NA,NA,"12.52111","-69.968338"
"Aruba",2020-04-04,19,70,121,NA,NA,"12.52111","-69.968338"
