"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
185,2020-07-03,4,5,6,177
186,2020-07-04,4,5,6,189
187,2020-07-05,4,5,6,190
188,2020-07-06,4,5,6,194
189,2020-07-07,4,5,6,199
190,2020-07-08,4,5,6,201
191,2020-07-09,4,5,6,202
192,2020-07-10,4,5,6,207
193,2020-07-11,4,5,6,212
194,2020-07-12,4,5,6,214
195,2020-07-13,4,5,6,216
196,2020-07-14,4,5,6,NA
197,2020-07-15,4,5,6,NA
198,2020-07-16,4,5,6,NA
199,2020-07-17,4,5,6,NA
200,2020-07-18,4,5,6,NA
201,2020-07-19,4,5,6,NA
202,2020-07-20,4,5,6,NA
203,2020-07-21,4,5,6,NA
204,2020-07-22,4,5,6,NA
205,2020-07-23,4,5,6,NA
