"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Grenada",2019-12-30,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2019-12-31,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-01,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-02,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-03,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-04,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-05,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-06,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-07,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-08,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-09,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-10,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-11,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-12,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-13,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-14,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-15,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-16,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-17,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-18,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-19,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-20,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-21,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-22,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-23,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-24,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-25,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-26,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-27,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-28,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-29,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-30,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-01-31,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-01,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-02,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-03,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-04,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-05,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-06,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-07,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-08,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-09,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-10,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-11,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-12,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-13,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-14,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-15,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-16,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-17,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-18,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-19,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-20,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-21,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-22,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-23,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-24,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-25,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-26,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-27,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-28,0,0,0,NA,0,NA,"12.1165","0"
"Grenada",2020-02-29,1,1,1,NA,0,NA,"12.1165","0"
"Grenada",2020-03-01,1,1,1,NA,0,NA,"12.1165","0"
"Grenada",2020-03-02,1,1,1,NA,0,NA,"12.1165","0"
"Grenada",2020-03-03,1,1,1,NA,0,NA,"12.1165","0"
"Grenada",2020-03-04,1,1,1,NA,0,NA,"12.1165","0"
"Grenada",2020-03-05,1,1,1,NA,0,NA,"12.1165","0"
"Grenada",2020-03-06,1,1,1,NA,0,NA,"12.1165","0"
"Grenada",2020-03-07,1,1,1,NA,0,NA,"12.1165","0"
"Grenada",2020-03-08,1,1,1,NA,0,NA,"12.1165","0"
"Grenada",2020-03-09,1,1,1,NA,0,NA,"12.1165","0"
"Grenada",2020-03-10,1,1,1,NA,0,NA,"12.1165","0"
"Grenada",2020-03-11,1,1,1,NA,0,NA,"12.1165","0"
"Grenada",2020-03-12,2,2,2,NA,0,NA,"12.1165","0"
"Grenada",2020-03-13,2,2,2,NA,0,NA,"12.1165","0"
"Grenada",2020-03-14,2,2,2,NA,0,NA,"12.1165","0"
"Grenada",2020-03-15,2,2,2,NA,0,NA,"12.1165","0"
"Grenada",2020-03-16,2,2,2,NA,0,NA,"12.1165","0"
"Grenada",2020-03-17,2,2,2,NA,0,NA,"12.1165","0"
"Grenada",2020-03-18,3,3,3,NA,0,NA,"12.1165","0"
"Grenada",2020-03-19,3,3,3,NA,0,NA,"12.1165","0"
"Grenada",2020-03-20,3,3,3,NA,0,NA,"12.1165","0"
"Grenada",2020-03-21,3,3,3,NA,0,0,"12.1165","0"
"Grenada",2020-03-22,3,4,5,NA,1,0,"12.1165","0"
"Grenada",2020-03-23,3,4,5,NA,1,0,"12.1165","0"
"Grenada",2020-03-24,3,4,5,NA,1,0,"12.1165","0"
"Grenada",2020-03-25,4,5,6,NA,1,0,"12.1165","0"
"Grenada",2020-03-26,4,5,6,NA,7,0,"12.1165","0"
"Grenada",2020-03-27,4,5,6,NA,7,0,"12.1165","0"
"Grenada",2020-03-28,5,6,7,NA,9,0,"12.1165","0"
"Grenada",2020-03-29,5,6,7,NA,9,0,"12.1165","0"
"Grenada",2020-03-30,5,6,7,NA,9,0,"12.1165","0"
"Grenada",2020-03-31,6,7,8,NA,9,0,"12.1165","0"
"Grenada",2020-04-01,6,7,8,NA,10,0,"12.1165","0"
"Grenada",2020-04-02,7,8,9,NA,10,0,"12.1165","0"
"Grenada",2020-04-03,7,8,9,NA,12,0,"12.1165","0"
"Grenada",2020-04-04,8,9,10,NA,12,0,"12.1165","0"
"Grenada",2020-04-05,8,9,10,NA,12,0,"12.1165","0"
"Grenada",2020-04-06,8,10,12,NA,12,0,"12.1165","0"
"Grenada",2020-04-07,8,10,12,NA,12,0,"12.1165","0"
"Grenada",2020-04-08,9,11,13,NA,12,0,"12.1165","0"
"Grenada",2020-04-09,9,11,13,NA,12,0,"12.1165","0"
"Grenada",2020-04-10,10,12,14,NA,14,0,"12.1165","0"
"Grenada",2020-04-11,10,12,14,NA,14,0,"12.1165","0"
"Grenada",2020-04-12,11,13,15,NA,14,0,"12.1165","0"
"Grenada",2020-04-13,12,14,16,NA,14,0,"12.1165","0"
"Grenada",2020-04-14,12,14,16,NA,14,0,"12.1165","0"
"Grenada",2020-04-15,12,14,16,NA,14,0,"12.1165","0"
"Grenada",2020-04-16,13,15,17,NA,14,0,"12.1165","0"
"Grenada",2020-04-17,13,15,17,NA,14,0,"12.1165","0"
"Grenada",2020-04-18,13,16,19,NA,14,0,"12.1165","0"
"Grenada",2020-04-19,13,16,19,NA,14,0,"12.1165","0"
"Grenada",2020-04-20,14,17,20,NA,14,0,"12.1165","0"
"Grenada",2020-04-21,14,17,20,NA,14,0,"12.1165","0"
"Grenada",2020-04-22,14,17,20,NA,15,0,"12.1165","0"
"Grenada",2020-04-23,15,18,21,NA,15,0,"12.1165","0"
"Grenada",2020-04-24,15,18,21,NA,15,0,"12.1165","0"
"Grenada",2020-04-25,15,18,21,NA,18,0,"12.1165","0"
"Grenada",2020-04-26,16,19,22,NA,18,0,"12.1165","0"
"Grenada",2020-04-27,16,19,22,NA,18,0,"12.1165","0"
"Grenada",2020-04-28,16,19,22,NA,18,0,"12.1165","0"
"Grenada",2020-04-29,17,20,23,NA,20,0,"12.1165","0"
"Grenada",2020-04-30,17,20,23,NA,20,0,"12.1165","0"
"Grenada",2020-05-01,17,20,23,NA,20,0,"12.1165","0"
"Grenada",2020-05-02,17,20,23,NA,21,0,"12.1165","0"
"Grenada",2020-05-03,17,20,23,NA,21,0,"12.1165","0"
"Grenada",2020-05-04,18,21,24,NA,21,0,"12.1165","0"
"Grenada",2020-05-05,18,21,24,NA,21,0,"12.1165","0"
"Grenada",2020-05-06,18,21,24,NA,21,0,"12.1165","0"
"Grenada",2020-05-07,18,21,24,NA,21,0,"12.1165","0"
"Grenada",2020-05-08,18,21,24,NA,21,0,"12.1165","0"
"Grenada",2020-05-09,18,21,24,NA,21,0,"12.1165","0"
"Grenada",2020-05-10,18,21,24,NA,21,0,"12.1165","0"
"Grenada",2020-05-11,18,21,24,NA,21,0,"12.1165","0"
"Grenada",2020-05-12,18,22,26,NA,21,0,"12.1165","0"
"Grenada",2020-05-13,18,22,26,NA,21,0,"12.1165","0"
