"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
191,2020-07-09,5,7,9,285
192,2020-07-10,5,7,9,313
193,2020-07-11,6,8,10,334
194,2020-07-12,6,8,10,362
195,2020-07-13,6,8,10,362
196,2020-07-14,7,9,11,365
197,2020-07-15,7,9,11,368
198,2020-07-16,7,9,11,394
199,2020-07-17,8,10,12,404
200,2020-07-18,8,10,12,416
201,2020-07-19,8,11,14,428
202,2020-07-20,8,11,14,NA
203,2020-07-21,9,12,15,NA
204,2020-07-22,9,12,15,NA
205,2020-07-23,9,12,15,NA
206,2020-07-24,10,13,16,NA
207,2020-07-25,11,14,17,NA
208,2020-07-26,11,14,17,NA
209,2020-07-27,11,15,19,NA
210,2020-07-28,11,15,19,NA
211,2020-07-29,12,16,20,NA
